Timestamp	Are you a Taskman or Taskmain?	What is your current Taskman tier?	Which days does this usually apply to? If your answer is "None of the above", respond to the follow-up questions with "No time".	On an average work day, how much time do you spend ACTIVELY playing the game in such a way that you're giving the game your full attention and NOT, for example, watching a  movie or YouTube on another screen or device? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game in a way that requires enough attention not to be "AFK" but allows for intermittent but regular breaks and distractions from  other screens/devices/activities, or chasing higher-activity bonuses like rockertunities while mining? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game very inactively/"AFK" This is any time where you're barely paying attention and can have the game in the background, on another screen for extended periods without interaction, possibly with something like AFKWarden warning you about lobby timeouts? Choose the closest time that applies.	Which days does this usually apply to?  If your answer is "None of the above", respond to the follow-up questions with "No time".	On an day like this, how much time do you spend ACTIVELY playing the game in such a way that you're giving the game your full attention and NOT, for example, watching a  movie or YouTube on another screen or device? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game in a way that requires enough attention not to be "AFK" but allows for intermittent but regular breaks and distractions from  other screens/devices/activities, or chasing higher-activity bonuses like rockertunities while mining? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game very inactively/"AFK" This is any time where you're barely paying attention and can have the game in the background, on another screen for extended periods without interaction, possibly with something like AFKWarden warning you about lobby timeouts? Choose the closest time that applies.	Which days does this usually apply to? If your answer is "None of the above", respond to the follow-up questions with "No time".	On an average day where you have more or a lot of free time, how much time do you spend ACTIVELY playing the game in such a way that you're giving the game your full attention and NOT, for example, watching a movie or YouTube on another screen or device? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game in a way that requires enough attention not to be "AFK" but allows for intermittent but regular breaks and distractions from other screens/devices/activities, or chasing higher-activity bonuses like rockertunities while mining? Choose the closest time that applies.	On the same kind of day, how much time do you spend playing the game very inactively/"AFK" This is any time where you're barely paying attention and can have the game in the background, on another screen for extended periods without interaction, possibly with something like AFKWarden warning you about lobby timeouts? Choose the closest time that applies.	When you have very limited time to actively play but have a task that requires a lot of attention, which of the following are you most likely to do?	How much do you agree with the statements: "If I had more time to actively play, I would spend most of the extra time participating in or completing [...]" [Group activities (Future group PvM, minigames, placeholders etc.)]	How much do you agree with the statements: "If I had more time to actively play, I would spend most of the extra time participating in or completing [...]" [My active (usually solo) task]	How much do you agree with the statement: "Task time should be an important factor in determining the tier of a task. Longer tasks should be in higher tiers or split up into more manageable smaller tasks" [Question]
22/04/2022 16:02:42	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	No time	2 hours	None of the above	1 hour	No time	2 hours	Saturday, Sunday	4 hours	2 hours	No time	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Strongly agree
22/04/2022 16:03:04	Taskman	Elite	Wednesday, Thursday, Friday, Saturday, Sunday	3 hours	No time	2 hours	Monday, Tuesday	5 hours	2 hours	2 hours	None of the above	No time	No time	No time	Play another game or do some other IRL activity until more time is available	Neutral	Agree	Agree
22/04/2022 16:03:15	Taskman	Elite	Thursday, Friday, Saturday, Sunday	1 hour	4 hours	1 hour	None of the above	No time	No time	No time	Friday, Saturday, Sunday	3 hours	3 hours	3 hours	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Neutral
22/04/2022 16:03:23	Taskman	Beginner	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	1 hour	1 hour	Monday, Sunday	No time	1 hour	1 hour	Friday, Saturday	3 hours	1 hour	2 hours	Use all the time on the active task anyway	Neutral	Strongly agree	Disagree
22/04/2022 16:03:43	Taskmain		None of the above/I don't work	No time	No time	No time	None of the above	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	4 hours	6 hours	6 hours	Use all the time on the active task anyway	Strongly disagree	Strongly agree	Neutral
22/04/2022 16:04:00	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	3 hours	5 hours	Saturday, Sunday	3 hours	3 hours	2 hours	None of the above	No time	No time	No time	Do other in-game activities such as minigames or less active activities available through unlocks	Strongly agree	Agree	Strongly agree
22/04/2022 16:04:14	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	4 hours	No time	None of the above	3 hours	3 hours	No time	Saturday, Sunday	5 hours	5 hours	2 hours	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Agree
22/04/2022 16:04:35	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	3 hours	2 hours	No time	None of the above	No time	No time	No time	Monday, Wednesday, Thursday, Friday	7 hours or more	4 hours	No time	Use all the time on the active task anyway	Agree	Strongly agree	Strongly agree
22/04/2022 16:04:41	Taskman	Beginner	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	4 hours	2 hours	Saturday, Sunday	2 hours	2 hours	No time	Friday	3 hours	1 hour	1 hour	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Agree
22/04/2022 16:04:45	Taskman	Medium	None of the above/I don't work	7 hours or more	2 hours	No time	None of the above	7 hours or more	7 hours or more	No time	None of the above	7 hours or more	7 hours or more	No time	Do other in-game activities such as minigames or less active activities available through unlocks	Strongly agree	Strongly agree	Strongly agree
22/04/2022 16:05:23	Taskman	Beginner	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	2 hours	Monday, Tuesday, Wednesday, Thursday, Friday	No time	No time	1 hour	Saturday, Sunday	1 hour	1 hour	4 hours	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Neutral
22/04/2022 16:06:16	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	1 hour	1 hour	Friday, Saturday	No time	No time	No time	Sunday	3 hours	3 hours	2 hours	Do other in-game activities such as minigames or less active activities available through unlocks	Agree	Strongly agree	Neutral
22/04/2022 16:07:29	Taskman	Master	Monday, Tuesday, Wednesday, Thursday, Friday	4 hours	1 hour	1 hour	None of the above	No time	No time	No time	Saturday, Sunday	6 hours	2 hours	2 hours	Use all the time on the active task anyway	Agree	Agree	Agree
22/04/2022 16:07:37	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	No time	1 hour	1 hour	None of the above	No time	No time	No time	Saturday, Sunday	4 hours	2 hours	2 hours	Play another game or do some other IRL activity until more time is available	Disagree	Agree	Agree
22/04/2022 16:07:45	Taskman	Hard	None of the above/I don't work	1 hour	1 hour	2 hours	None of the above	No time	No time	No time	Saturday, Sunday	1 hour	1 hour	2 hours	Play another game or do some other IRL activity until more time is available	Disagree	Agree	Strongly agree
22/04/2022 16:09:50	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	3 hours	5 hours	1 hour	None of the above	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	7 hours or more	2 hours	5 hours	Combo between the three	Disagree	Agree	Disagree
22/04/2022 16:11:13	Taskman	Beginner	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	7 hours or more	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	7 hours or more	Saturday, Sunday	1 hour	2 hours	1 hour	Do other in-game activities such as minigames or less active activities available through unlocks	Neutral	Strongly agree	Strongly agree
22/04/2022 16:14:23	Taskman	Master	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	3 hours	1 hour	None of the above	1 hour	3 hours	1 hour	Friday, Saturday, Sunday	2 hours	6 hours	3 hours	Passives/Farming/Unlocks/Play Less Think we can spent alot of time not doing active tasks if we really wanted 2	Strongly disagree	Strongly agree	Disagree
22/04/2022 16:14:30	Taskman	Medium	Monday, Wednesday, Thursday, Friday, Sunday	3 hours	3 hours	1 hour	Tuesday, Sunday	No time	2 hours	2 hours	None of the above	No time	No time	No time	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Agree
22/04/2022 16:15:07	Taskman	Master	Monday, Tuesday, Wednesday, Thursday, Friday	3 hours	1 hour	1 hour	None of the above	No time	No time	No time	Saturday, Sunday	3 hours	2 hours	1 hour	Use all the time on the active task anyway	Agree	Neutral	Agree
22/04/2022 16:17:13	Taskman	Hard	None of the above/I don't work	No time	No time	No time	Saturday, Sunday	No time	No time	1 hour	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	3 hours	7 hours or more	7 hours or more	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Disagree
22/04/2022 16:18:28	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	2 hours	3 hours	Saturday, Sunday	2 hours	No time	1 hour	None of the above	No time	No time	No time	Use all the time on the active task anyway	Strongly agree	Agree	Neutral
22/04/2022 16:22:25	Taskman	Hard	Tuesday, Thursday, Saturday, Sunday	3 hours	3 hours	1 hour	None of the above	No time	No time	No time	Monday, Wednesday, Friday	5 hours	3 hours	2 hours	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Strongly agree
22/04/2022 16:25:22	Taskman	Medium	Thursday, Friday, Saturday	1 hour	3 hours	No time	None of the above	No time	No time	No time	None of the above	No time	No time	No time	Do other in-game activities such as minigames or less active activities available through unlocks	Strongly agree	Strongly agree	Strongly agree
22/04/2022 16:25:31	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	1 hour	2 hours	No time	None of the above	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	2 hours	3 hours	No time	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Agree
22/04/2022 16:27:37	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	1 hour	Monday, Wednesday, Thursday, Friday, Saturday, Sunday	1 hour	2 hours	1 hour	Saturday, Sunday	1 hour	4 hours	1 hour	Use all the time on the active task anyway	Disagree	Strongly agree	Strongly agree
22/04/2022 16:28:11	Taskman	Master	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	2 hours	2 hours	Saturday, Sunday	No time	No time	5 hours	Saturday, Sunday	3 hours	1 hour	2 hours	Play another game or do some other IRL activity until more time is available	Agree	Neutral	Agree
22/04/2022 16:33:17	Taskmain		Tuesday, Wednesday, Friday, Saturday, Sunday	2 hours	1 hour	1 hour	None of the above	2 hours	3 hours	2 hours	Saturday, Sunday	No time	No time	No time	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Agree
22/04/2022 16:34:54	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	No time	Saturday, Sunday	No time	No time	1 hour	Sunday	3 hours	2 hours	1 hour	Do other in-game activities such as minigames or less active activities available through unlocks	Disagree	Strongly agree	Strongly disagree
22/04/2022 16:38:27	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	3 hours	1 hour	3 hours	None of the above	No time	No time	No time	Saturday, Sunday	5 hours	1 hour	2 hours	Use all the time on the active task anyway	Neutral	Agree	Agree
22/04/2022 16:43:26	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday	1 hour	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	1 hour	No time	No time	Sunday	7 hours or more	7 hours or more	7 hours or more	Use all the time on the active task anyway	Neutral	Neutral	Strongly agree
22/04/2022 16:44:47	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	2 hours	No time	Saturday, Sunday	4 hours	4 hours	2 hours	Saturday, Sunday	4 hours	3 hours	2 hours	Play another game or do some other IRL activity until more time is available	Neutral	Agree	Strongly agree
22/04/2022 16:46:03	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	1 hour	2 hours	None of the above	No time	No time	No time	Saturday, Sunday	4 hours	2 hours	2 hours	Use all the time on the active task anyway	Disagree	Strongly agree	Agree
22/04/2022 16:48:24	Taskman	Beginner	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	1 hour	No time	None of the above	No time	No time	No time	Saturday, Sunday	2 hours	2 hours	1 hour	Play another game or do some other IRL activity until more time is available	Disagree	Strongly agree	Agree
22/04/2022 16:51:45	Taskman	Elite	Monday, Tuesday, Wednesday, Saturday, Sunday	4 hours	5 hours	No time	Monday, Saturday	2 hours	2 hours	1 hour	Thursday, Friday, Sunday	5 hours	3 hours	No time	Play another game or do some other IRL activity until more time is available	Strongly agree	Neutral	Strongly agree
22/04/2022 16:59:28	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	3 hours	4 hours	Saturday, Sunday	4 hours	2 hours	3 hours	None of the above	No time	No time	No time	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Disagree
22/04/2022 17:02:09	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	4 hours	2 hours	No time	Saturday, Sunday	2 hours	No time	No time	Wednesday, Friday	3 hours	No time	No time	Use all the time on the active task anyway	Neutral	Strongly agree	Strongly disagree
22/04/2022 17:12:34	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	2 hours	1 hour	None of the above	No time	No time	No time	Saturday, Sunday	7 hours or more	2 hours	No time	play a different account	Strongly agree	Strongly agree	Agree
22/04/2022 17:15:55	Taskman	Beginner	None of the above/I don't work	No time	3 hours	No time	Saturday	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Sunday	No time	3 hours	No time	Play another game or do some other IRL activity until more time is available	Agree	Agree	Strongly agree
22/04/2022 17:16:36	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	No time	No time	None of the above	3 hours	2 hours	7 hours or more	Saturday, Sunday	3 hours	2 hours	7 hours or more	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Agree
22/04/2022 17:20:56	Taskman	Elite	Monday, Thursday, Friday, Saturday, Sunday	2 hours	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	2 hours	No time	No time	None of the above	5 hours	1 hour	No time	Use all the time on the active task anyway	Neutral	Strongly agree	Agree
22/04/2022 17:28:26	Taskmain		Wednesday, Thursday	No time	1 hour	3 hours	Saturday, Sunday	No time	2 hours	2 hours	Monday, Tuesday, Friday	3 hours	4 hours	5 hours	Use all the time on the active task anyway	Agree	Strongly agree	Agree
22/04/2022 17:32:31	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Saturday	1 hour	1 hour	No time	None of the above	No time	No time	No time	Friday, Sunday	4 hours	No time	No time	Play another game or do some other IRL activity until more time is available	Strongly disagree	Strongly agree	Agree
22/04/2022 17:41:22	Taskman	Easy	None of the above/I don't work	No time	No time	No time	None of the above	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	2 hours	3 hours	3 hours	Play another game or do some other IRL activity until more time is available	Disagree	Agree	Agree
22/04/2022 17:46:15	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	1 hour	None of the above	No time	No time	No time	Saturday, Sunday	1 hour	4 hours	1 hour	Play another game or do some other IRL activity until more time is available	Neutral	Neutral	Strongly agree
22/04/2022 18:09:23	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	No time	Saturday	2 hours	3 hours	No time	Sunday	2 hours	4 hours	No time	Do other in-game activities such as minigames or less active activities available through unlocks	Neutral	Neutral	Agree
22/04/2022 18:12:36	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	No time	Saturday	2 hours	1 hour	No time	Sunday	4 hours	2 hours	No time	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Strongly agree
22/04/2022 19:05:47	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	4 hours	No time	No time	None of the above	4 hours	No time	No time	Saturday, Sunday	5 hours	No time	No time	Use all the time on the active task anyway	Neutral	Strongly agree	Disagree
22/04/2022 19:12:08	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	No time	No time	1 hour	Saturday	4 hours	No time	1 hour	Sunday	6 hours	No time	No time	Use all the time on the active task anyway	Neutral	Neutral	Agree
22/04/2022 19:16:47	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	3 hours	4 hours	None of the above	No time	No time	No time	Saturday, Sunday	2 hours	3 hours	4 hours	Do other in-game activities such as minigames or less active activities available through unlocks	Neutral	Strongly agree	Strongly disagree
22/04/2022 19:17:06	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	No time	2 hours	Saturday, Sunday	2 hours	2 hours	4 hours	None of the above	No time	No time	No time	Both 2 and 3	Agree	Agree	Strongly agree
22/04/2022 19:20:24	Taskman	Hard	None of the above/I don't work	4 hours	1 hour	No time	Wednesday, Friday	4 hours	1 hour	No time	Monday, Tuesday, Thursday, Saturday, Sunday	7 hours or more	1 hour	No time	Play another game or do some other IRL activity until more time is available	Strongly agree	Neutral	Disagree
22/04/2022 19:23:45	Taskmain		Monday, Tuesday, Wednesday, Thursday, Friday	2 hours	2 hours	No time	None of the above	No time	No time	No time	Saturday, Sunday	2 hours	2 hours	No time	Play another game or do some other IRL activity until more time is available	Neutral	Strongly agree	Agree
22/04/2022 21:33:23	Taskman	Elite	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	3 hours	1 hour	Saturday	2 hours	No time	No time	Sunday	3 hours	1 hour	No time	Play another game or do some other IRL activity until more time is available	Agree	Strongly agree	Agree
22/04/2022 21:43:31	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	1 hour	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	2 hours	1 hour	Saturday, Sunday	3 hours	4 hours	2 hours	Play another game or do some other IRL activity until more time is available	Disagree	Strongly agree	Strongly agree
22/04/2022 21:56:54	Taskmain		Monday, Tuesday, Wednesday, Thursday	1 hour	1 hour	1 hour	Monday, Tuesday, Wednesday, Thursday	No time	No time	No time	Monday, Tuesday, Wednesday, Thursday	2 hours	1 hour	1 hour	Use all the time on the active task anyway	Neutral	Agree	Strongly agree
22/04/2022 22:17:26	Taskman	I'd prefer not to say	Monday, Tuesday, Wednesday, Thursday	No time	2 hours	3 hours	Monday, Tuesday, Wednesday, Thursday, Sunday	No time	2 hours	3 hours	Friday, Saturday	2 hours	2 hours	1 hour	Do other in-game activities such as minigames or less active activities available through unlocks	Agree	Agree	Strongly agree
22/04/2022 22:31:29	Taskman	Hard	Monday, Tuesday, Wednesday, Thursday, Friday	No time	No time	2 hours	Monday, Tuesday, Wednesday, Thursday, Friday	No time	No time	No time	Saturday, Sunday	No time	2 hours	2 hours	Play another game or do some other IRL activity until more time is available	Strongly disagree	Neutral	Agree
22/04/2022 22:33:40	Taskmain		Monday, Tuesday, Wednesday, Thursday, Friday	No time	1 hour	No time	Monday, Tuesday, Wednesday, Thursday, Friday	No time	No time	No time	Saturday, Sunday	3 hours	2 hours	No time	Play another game or do some other IRL activity until more time is available	Disagree	Agree	Agree
22/04/2022 23:12:21	Taskman	Medium	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	No time	Saturday, Sunday	1 hour	1 hour	No time	Saturday	1 hour	2 hours	1 hour	Use all the time on the active task anyway	Disagree	Strongly agree	Disagree
23/04/2022 01:39:36	Taskmain		Monday, Tuesday, Friday, Saturday, Sunday	1 hour	3 hours	6 hours	Monday, Tuesday, Wednesday, Thursday, Friday	No time	2 hours	5 hours	Saturday, Sunday	4 hours	6 hours	7 hours or more	Play another game or do some other IRL activity until more time is available	Strongly agree	Neutral	Strongly agree
23/04/2022 05:28:11	Taskman	Medium	Tuesday, Wednesday, Thursday, Friday, Saturday	2 hours	1 hour	No time	None of the above	No time	No time	No time	Monday, Sunday	5 hours	2 hours	No time	Do other in-game activities such as minigames or less active activities available through unlocks	Neutral	Strongly agree	Disagree
23/04/2022 06:37:51	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	1 hour	1 hour	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday	1 hour	1 hour	No time	Saturday, Sunday	2 hours	1 hour	No time	Use all the time on the active task anyway	Disagree	Strongly agree	Strongly disagree
23/04/2022 09:14:58	Taskman	Easy	Monday, Tuesday, Wednesday, Thursday, Friday	No time	1 hour	No time	Monday, Tuesday, Wednesday, Thursday, Friday, Saturday	No time	1 hour	No time	Saturday, Sunday	1 hour	1 hour	1 hour	Play another game or do some other IRL activity until more time is available	Disagree	Agree	Agree
